point,brazilian_stocks,fiis,international_equity,fixed_income,crypto,total_return,annualized_return,annualized_volatility,max_drawdown,calmar,hhi,feasible
817,0.28,0.1,0.26,0.29,0.07,0.693955909857459,0.1920193255299245,0.09343238088557869,-0.06771393390084501,2.8357431693616055,0.24500000000000002,True
818,0.2,0.14,0.33,0.27,0.06,0.6781523316516405,0.1883016460595619,0.08949767014865001,-0.07660728808725226,2.4580121651753917,0.24500000000000002,True
819,0.2,0.14,0.27,0.33,0.06,0.6547722362260615,0.18275858854503357,0.08181951302438559,-0.06161691785076573,2.966045607598699,0.24500000000000002,True
820,0.16,0.19,0.28,0.32,0.05,0.6199880123051811,0.17441431680534714,0.07589890797951589,-0.05733552972683087,3.0419936405284105,0.24500000000000002,True
821,0.22,0.16,0.23,0.34,0.05,0.6184134789152067,0.1740337929803757,0.07607490878953697,-0.04979953412407356,3.494687170100375,0.24500000000000002,True
822,0.16,0.22,0.23,0.34,0.05,0.5927991990367405,0.16780851731609325,0.06998776633811168,-0.04511459088892489,3.7196063182585197,0.24500000000000002,True
823,0.16,0.23,0.22,0.34,0.05,0.5863357532644917,0.16622711332846563,0.068948693223595,-0.042520648939898265,3.9093268205624745,0.24500000000000002,True
824,0.16,0.28,0.19,0.32,0.05,0.5618504666486757,0.16019706024373792,0.06644917020224769,-0.03735056791190783,4.289012703141927,0.24500000000000002,True
825,0.2,0.13,0.34,0.26,0.07,0.703322487995645,0.19421184261138769,0.0944250174906659,-0.08412006329922139,2.308745797308325,0.24500000000000005,True
826,0.2,0.19,0.21,0.35,0.05,0.5994464250291283,0.16943043006300873,0.0717692847522858,-0.04503647462723348,3.7620713314126597,0.24519999999999997,True
827,0.19,0.2,0.21,0.35,0.05,0.5951977920106737,0.16839428976201476,0.07070522250810617,-0.043378782889096135,3.881950542331676,0.24519999999999997,True
828,0.19,0.21,0.2,0.35,0.05,0.5887086000786312,0.16680817329573938,0.06975581533605488,-0.04269840170611139,3.906660826413656,0.24519999999999997,True
829,0.23,0.12,0.31,0.28,0.06,0.680890865764219,0.18894753378081686,0.08986808246039325,-0.07267179814140134,2.600011814943284,0.2454,True
830,0.21,0.13,0.32,0.28,0.06,0.678671970924001,0.18842425782010364,0.08908537204946482,-0.07459508491910127,2.5259607657052827,0.2454,True
831,0.23,0.12,0.28,0.31,0.06,0.6691272657071818,0.18616808224675663,0.08617355533562504,-0.06518622257830387,2.8559421743317817,0.2454,True
832,0.19,0.14,0.31,0.3,0.06,0.668651016350726,0.1860552814494678,0.08584420497144607,-0.07155340658954557,2.600229539269088,0.2454,True
833,0.19,0.14,0.3,0.31,0.06,0.6647599054558757,0.1851328574075437,0.08454273945042484,-0.06905992687537987,2.680756638240002,0.2454,True
834,0.21,0.13,0.28,0.32,0.06,0.6630474166828113,0.18472644044418973,0.08401848501421857,-0.06461766527861768,2.85876067554729,0.2454,True
835,0.22,0.13,0.26,0.33,0.06,0.65691644866906,0.18326911453655348,0.08274765741671196,-0.05966571996414116,3.0715981412224207,0.2454,True
836,0.21,0.14,0.25,0.34,0.06,0.6486517525372002,0.181298902108173,0.08054031254440289,-0.05663912221582146,3.200948302435544,0.2454,True
837,0.21,0.16,0.24,0.34,0.05,0.6206727154829912,0.17457971484844115,0.07597618116553562,-0.04959397758154549,3.520179734754817,0.2454,True
838,0.16,0.21,0.24,0.34,0.05,0.5992729855162631,0.16938816825148462,0.07105399113903299,-0.047693487735969264,3.551599522123776,0.2454,True
839,0.16,0.24,0.21,0.34,0.05,0.5798826517851217,0.1646439486906166,0.06793822057701396,-0.0399115298456314,4.125222694480053,0.2454,True
840,0.24,0.12,0.34,0.23,0.07,0.7130399074252181,0.1964780046716501,0.09840471074081154,-0.08484803619294456,2.3156458709882077,0.24540000000000003,True
841,0.23,0.12,0.34,0.24,0.07,0.7112917519059216,0.19607095746127579,0.09733180069161937,-0.08475449891019593,2.313398816374673,0.24540000000000003,True
842,0.17,0.16,0.28,0.33,0.06,0.6482390474996209,0.1812003453162132,0.08023429311594885,-0.06308134042484459,2.8724872378401054,0.24540000000000003,True
843,0.19,0.15,0.26,0.34,0.06,0.6465192896335772,0.18078947812171342,0.07964216099920592,-0.058598310171935286,3.0852336456674756,0.24540000000000003,True
844,0.16,0.17,0.28,0.33,0.06,0.6438786499358526,0.1801580457968177,0.0794143270959482,-0.06259611227760276,2.8781027965099244,0.24540000000000003,True
845,0.21,0.18,0.21,0.35,0.05,0.6036995616067817,0.17046583229682333,0.07286756897253198,-0.04668446663736392,3.651446499774102,0.24559999999999996,True
846,0.18,0.21,0.21,0.35,0.05,0.5909536618288305,0.16735740891420825,0.06967729144082431,-0.04171130553440616,4.012279327391494,0.24559999999999996,True
847,0.29,0.1,0.29,0.25,0.07,0.707521410781218,0.19519211210673726,0.09802416259975383,-0.07523274968931748,2.594509876520613,0.24559999999999998,True
848,0.25,0.1,0.29,0.29,0.07,0.7006211031246827,0.19358033238905858,0.0931446613216334,-0.07341020820636979,2.6369674888384482,0.24559999999999998,True
849,0.29,0.1,0.25,0.29,0.07,0.6917110970707807,0.19149266235405182,0.09366120921039738,-0.06594826039068635,2.903680267221964,0.24559999999999998,True
850,0.21,0.15,0.23,0.35,0.06,0.6381809915368921,0.17879330874567567,0.0783699179466923,-0.051952691292290853,3.441463845246578,0.24559999999999998,True
851,0.19,0.19,0.22,0.35,0.05,0.6016973514382398,0.16997863383364842,0.07168413014799027,-0.04406027250119193,3.857866149807632,0.24559999999999998,True
852,0.19,0.22,0.19,0.35,0.05,0.5822297792277331,0.1652202766885018,0.06883733242183084,-0.04201912625017856,3.93202551868388,0.24559999999999998,True
853,0.18,0.17,0.27,0.33,0.05,0.6247382583967638,0.17556083581753534,0.07635123119991202,-0.05561104053457999,3.1569421131109445,0.2456,True
854,0.17,0.18,0.27,0.33,0.05,0.6204270519412061,0.17452037731324865,0.07544282261288118,-0.05534290879965731,3.1534370183724296,0.2456,True
855,0.15,0.21,0.26,0.33,0.05,0.6053337275835726,0.17086317394723083,0.07259655936599169,-0.05226228326445459,3.2693400149136016,0.2456,True
856,0.15,0.26,0.21,0.33,0.05,0.5730655415293706,0.16296679019087468,0.06724295791770742,-0.039747381303469775,4.10006357265726,0.2456,True
857,0.17,0.27,0.18,0.33,0.05,0.5622012099285201,0.16028388205218835,0.06629512170503177,-0.038235711956459695,4.191994181635981,0.2456,True
858,0.19,0.17,0.25,0.34,0.05,0.6186228058798946,0.17408439609310156,0.07495285029654729,-0.05108073661983292,3.408024386741331,0.24560000000000004,True
859,0.17,0.19,0.25,0.34,0.05,0.610041127746519,0.17200625634955324,0.07304325729931023,-0.05053248014403999,3.403875207772488,0.24560000000000004,True
860,0.17,0.25,0.19,0.34,0.05,0.5712127350289637,0.16251012192032732,0.06697895027538235,-0.03879335422448471,4.18912272911317,0.24560000000000004,True
861,0.19,0.14,0.32,0.29,0.06,0.6725408043645573,0.18697595957489388,0.08715943846526629,-0.07403862845465914,2.5253838905105725,0.2458,True
862,0.19,0.14,0.29,0.32,0.06,0.6608674750921264,0.1842086812082926,0.0832556844544518,-0.06655814808512772,2.767635316005038,0.2458,True
863,0.2,0.18,0.22,0.35,0.05,0.6059591530213233,0.17101517256237075,0.07273521749821454,-0.04571730928109441,3.7407094873164612,0.2458,True
864,0.18,0.2,0.22,0.35,0.05,0.5974400644601383,0.16894135552741374,0.07066900018280729,-0.04337971374237792,3.894478339131451,0.2458,True
865,0.18,0.22,0.2,0.35,0.05,0.5844776210778477,0.1657716913737115,0.06871523540473401,-0.041030277848908,4.040228340255401,0.2458,True
866,0.28,0.1,0.3,0.25,0.07,0.7097409301119761,0.19570962605997955,0.09791550920260293,-0.07697588333285232,2.542479768809008,0.24580000000000002,True
867,0.3,0.1,0.28,0.25,0.07,0.7052903457574091,0.19467145388885343,0.09819587089990377,-0.07348505117345183,2.649130003724934,0.24580000000000002,True
868,0.25,0.1,0.3,0.28,0.07,0.7045504963186981,0.19449869675227616,0.09432864418057921,-0.07587351859254676,2.5634595621796064,0.24580000000000002,True
869,0.25,0.1,0.28,0.3,0.07,0.6966903288772026,0.19266022862403154,0.0919766660803586,-0.07093877509866942,2.715866299580992,0.24580000000000002,True
870,0.3,0.1,0.25,0.28,0.07,0.6934157001253751,0.19189262762147385,0.09498799984060721,-0.06651508052025434,2.8849491892750714,0.24580000000000002,True
871,0.28,0.1,0.25,0.3,0.07,0.6900061999417051,0.1910923592193905,0.09235540060610849,-0.06538124767437758,2.922739562436924,0.24580000000000002,True
872,0.26,0.11,0.28,0.29,0.06,0.6769136056558023,0.1880092596777121,0.08968362185312628,-0.06711500584144181,2.8012999078310616,0.24580000000000002,True
873,0.15,0.28,0.2,0.32,0.05,0.5640622561615198,0.16074434185629483,0.06647720718452392,-0.037627718021516654,4.271966260733016,0.24580000000000002,True
874,0.24,0.13,0.35,0.21,0.07,0.7142157395368678,0.19675163414471042,0.0998210149145229,-0.0869300164777087,2.2633336805493767,0.24599999999999997,True
875,0.21,0.13,0.35,0.24,0.07,0.7089594994144464,0.19552747498486722,0.09671653181859413,-0.08664748723524818,2.256585634780263,0.24599999999999997,True
876,0.25,0.11,0.33,0.24,0.07,0.7136004115784738,0.19660845596160614,0.09811466584547596,-0.08285884032376822,2.3728120643900517,0.246,True
877,0.24,0.11,0.33,0.25,0.07,0.7118561953814202,0.19620241493075774,0.09700465917722191,-0.0827659431122375,2.3705694341535013,0.246,True
878,0.19,0.16,0.27,0.33,0.05,0.6290540340818396,0.17660055498822236,0.07729627320128628,-0.05587860146440948,3.1604326228655486,0.24600000000000002,True
879,0.16,0.19,0.27,0.33,0.05,0.6161204139925696,0.17347917699833748,0.07457271067114624,-0.055074204431085794,3.149917076249581,0.24600000000000002,True
880,0.16,0.27,0.19,0.33,0.05,0.5644277473178365,0.16083472870671023,0.06622687461803184,-0.03722817762943853,4.320241788562024,0.24600000000000002,True
881,0.2,0.15,0.24,0.35,0.06,0.6404093047053421,0.17932742383098565,0.07835438277488041,-0.053953976496596834,3.3237109750807114,0.2462,True
882,0.2,0.16,0.25,0.34,0.05,0.6229204668293755,0.17512235811682553,0.07596163549564104,-0.05135398671538627,3.4101024928675456,0.24620000000000003,True
883,0.16,0.2,0.25,0.34,0.05,0.6057571091174452,0.1709660736734222,0.0721459754150231,-0.05025746999699021,3.4018042230072645,0.24620000000000003,True
